ORF,Name,Allele,StrainID,Plate,Row,Column,Time,score,is_inlier
YOR202W,HIS3,his3,tsa1,1,1,1,6,5.4505692383965965e-06,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0004034211745476135,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-8.784379809245735e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.1558922330547774,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.4486855763678925,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,2.6997318701260653e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7247174437540904,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5479204923481746,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.27603019205152135,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.1432278177010462,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.3000860395365856,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.0975254955339657,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.8929111106874936,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,6.147363230302183e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00010276144671372833,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.8615031565404496,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0422623873131569,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.4617737048337267,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,9.124390270631721e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5168264490900112,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5364614943341106,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7138790678466462,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00011109950513388256,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,7.905213211789608e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.1142617619935493,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-3.807009268985695e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00014135613130372704,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.6072605683607539,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.39369786106470284,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.033402385696117864,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.10262264491897621,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-4.867749140302635e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.04165321333207683,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.24763781438222443,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.9917847811636797,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0073139873404581834,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,8.329726602962495e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,2.2881699116572563e-05,False
